generation,best_fitness,mean_fitness,best_agent,duration,total duration,all_fitness
1,16,-539,17,76.21934628486633,76.21934628486633,"[-558.000640300842, -711.468031338283, -477.9733544455329, -507.9952227452626, -2888.20558757867, -487.8442151433234, -319.5523196091859, -431.17300443056644, -153.47058661549062, -648.9868788824788, -554.392144091108, -539.034628605986, -141.55652388315693, -595.4549046881598, -102.64300671056733, -528.3718625227982, -135.10643675607767, 17.703236793913533, -508.3570142664232, -493.4491992055951]"
2,42,-117,5,105.4188404083252,181.63818669319156,"[-159.0492387181776, -83.48614478597253, -17.783908749628633, -204.19622376998552, -123.20318826597364, 44.0600306100065, -118.19701978761674, -130.81931007399027, -120.72980106322015, -97.45781608014497, -160.74826287765453, -142.77521756391957, -114.64581442116724, -58.49472717055951, -99.17187867953888, -124.93866120751281, -161.04330796079722, -117.51685894675762, -198.43661329201768, -145.2603362446423]"
3,-10,-158,17,63.06498599052429,244.70317268371585,"[-150.54061377815762, -128.88979450855453, -153.12667155577222, -785.4956342897361, -139.061188846491, -122.05883037799713, -151.35647653870956, -29.366219961607197, -29.439605430365656, -132.2545081998918, -118.1348151895365, -120.01270160905297, -146.72097627137111, -150.57895329048063, -112.06379207043291, -177.75505914781547, -134.95828970614642, -9.356571825191136, -157.7092647595978, -190.50159756701856]"
4,-36,-160,5,61.269827127456665,305.9729998111725,"[-110.04522451416837, -79.09130717165759, -142.54101498640935, -144.19571965490297, -97.21852390930938, -34.612173129796005, -144.98301321940892, -108.29407341175143, -154.09242425177646, -118.15434854507531, -131.56391222590952, -169.27043874533697, -128.52065278056114, -146.0843669107791, -763.5974709137477, -141.99004937836605, -138.70458796486184, -134.73779797939957, -145.51812790692438, -134.9881864222671]"
5,-21,-187,8,63.58133888244629,369.5543386936188,"[-155.70982169169562, -657.8683028024519, -115.96565447004399, -150.40901529930733, -161.68817077232134, -766.7415251202464, -100.68380527088733, -83.1230177716851, -18.658275358216244, -115.72507375186983, -153.42308321592733, -148.95537345452536, -105.49061352072123, -113.99578100800456, -157.83268921442797, -120.09648514844567, -195.36655491667307, -142.89308358931052, -103.35783912760918, -119.69782206197608]"
6,-84,-186,7,60.0711829662323,429.6255216598511,"[-113.73342347611347, -129.90003039788104, -148.56803299242588, -586.5249274365526, -699.4166112433427, -179.77546088327568, -110.44483473209431, -80.24667412931973, -107.83104408907562, -122.27453294579706, -150.90114597078554, -86.35241903022938, -106.5743553595342, -128.53544580817095, -104.41359034652848, -174.2433771980306, -128.06527616751112, -263.9976718829689, -84.37971057935002, -139.02453111465945]"
7,-86,-164,10,56.77308797836304,486.3986096382141,"[-135.6330450436157, -444.7841437741118, -151.4348001513729, -139.14641428717002, -127.4776192292664, -111.60639473607424, -120.11919422142154, -110.40128061208597, -106.81205298733977, -93.62510786017165, -80.59170044964264, -81.86934427535294, -131.49502280823813, -521.9183757807682, -141.90006249300635, -194.84226976189348, -108.53549037182162, -92.04104548885857, -132.57809443820324, -142.93354282592045]"
8,-82,-131,7,59.3041889667511,545.7027986049652,"[-138.63519696546982, -133.58420980561007, -139.62520809453727, -126.39011666711838, -144.77252367194905, -116.89846274492356, -108.23194860929789, -75.53660399730686, -115.03666644164215, -127.6405107250543, -139.56234652350753, -90.57124311109487, -127.47782200582782, -114.09410072225347, -92.01962300175794, -129.51123959162325, -161.88861230019006, -107.61503841064217, -160.9572709678891, -138.84696904480737]"
9,-18,-193,12,65.3244035243988,611.027202129364,"[-139.12868813198637, -1013.4628439706646, -176.94512632583013, -74.08280609945501, -158.5001004073248, -100.27784447475176, -132.0671228270007, -122.72155742286554, -95.5725059887817, -639.1229063538003, -107.82126971990166, -108.95421875310757, -8.777809966136395, -134.77896166803387, -115.31231818433636, -156.58762174719413, -140.29288046173096, -114.07437677108751, -105.1019508051061, -42.60824283678647]"
10,14,-138,8,63.78017067909241,674.8073728084564,"[-128.09762869186937, -98.75199249075649, -91.9981398927504, -112.26697411653313, -163.97214789149322, -90.30668199704155, -163.7922978623555, -135.93240204525657, 26.39271617873804, -113.48857838342815, -144.12311690223365, -130.30978188555986, -127.09939099543615, -103.09558964083632, -189.50399228579923, -77.57584752784729, -113.1510722182474, -135.0829641160157, -286.06886706869204, -160.3398573635246]"
